Security Policy: KRIS10-PUBFW-Rule	-
-	-
-	-
222	MySQL
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
223	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
224	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
225	MySQL
-	-
-	-
-	-
-	-
-	-
-	-
226	MySQL
-	-
-	-
227	TCP_1700_86400s
228	TCP_1700
-	-
-	-
-	-
-	-
229	MySQL
-	-
-	-
230	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
231	sqlnet1
-	-
232	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
233	TCP_1700
-	http
-	https
-	-
234	TCP_1700
235	TCP_1700_86400s
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
236	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
237	TCP_1700
-	-
238	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
239	TCP_1700
-	-
-	-
-	-
240	ftp
-	TCP_10020
-	TCP_10021
-	TCP_10022
-	TCP_10023
-	TCP_10024
-	TCP_10025
-	TCP_10026
-	TCP_10027
-	TCP_10028
-	TCP_10029
241	MySQL
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
242	TCP_9092
-	-
-	-
-	-
243	ssh
-	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
244	ftp
-	TCP_9101
-	TCP_9092
-	TCP_2181
-	TCP_9999
-	TCP_10000
-	-
-	-
-	-
-	-
-	-
-	-
-	-
245	TCP_2181
-	TCP_9000
-	TCP_9092
-	TCP_9999
-	TCP_10000
246	sqlnet1
-	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
247	TCP_1700
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
248	TCP_1700
-	-
-	-
-	-
249	http
-	ftp
-	TCP_8655
-	TCP_14000
-	https
250	http
-	ftp
-	TCP_8655
-	TCP_14000
-	https
-	-
-	-
-	-
251	http
-	ftp
-	TCP_8655
-	TCP_14000
-	https
-	TCP_8656
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
252	http
-	ftp
-	TCP_8655
-	TCP_14000
-	https
