Security Policy: KRIS10-PUBFW-Rule	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
136	Public_NAT_OCB_Outbound_175.126.208.10_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
137	Public_NAT_OCB_Outbound_175.126.208.10_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
138	Public_NAT_OCB_Outbound_175.126.208.10_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
139	Host_172.22.201.88
-	Host_172.22.201.89
-	Host_172.22.201.90
-	Host_172.22.206.36
140	L4_172.22.206.59
-	-
-	-
141	Public_NAT_175.126.208.47_Grp
-	Public_NAT_OCB_Outbound_175.126.208.10_Grp
-	Public_NAT_175.126.208.45_Grp
-	Public_NAT_175.126.208.50_Grp
-	Public_NAT_175.126.208.44_Grp
142	Public_NAT_OCB_Outbound_175.126.208.10_Grp
-	Public_NAT_175.126.208.40_Grp
-	Public_NAT_175.126.208.22_Grp
-	Public_NAT_175.126.208.23_Grp
-	Public_NAT_175.126.208.24_Grp
-	-
-	-
-	-
143	Public_NAT_OCB_Outbound_175.126.208.10_Grp
-	Public_NAT_175.126.208.40_Grp
-	Public_NAT_175.126.208.22_Grp
-	Public_NAT_175.126.208.23_Grp
-	Public_NAT_175.126.208.24_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
144	Host_172.22.205.86
-	Host_172.22.205.87
145	Host_172.22.200.166
-	Host_172.22.200.167
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
146	Public_NAT_175.126.208.36_Grp
-	-
-	-
147	Public_NAT_175.126.208.36_Grp
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
148	Host_172.22.203.47
-	Public_NAT_175.126.208.31_Grp
-	Public_NAT_175.126.208.23_Grp
-	Public_NAT_175.126.208.22_Grp
-	Public_NAT_175.126.208.24_Grp
-	Public_NAT_175.126.208.20_Grp
-	Public_NAT_175.126.208.21_Grp
-	Public_NAT_175.126.208.39_Grp
-	Public_NAT_175.126.208.40_Grp
-	Public_NAT_175.126.208.45_Grp
-	-
-	-
-	-
149	Public_NAT_175.126.208.30_Grp
-	Public_NAT_175.126.208.31_Grp
-	L4_172.22.206.20
-	Syrup_StoreWAS_Grp
-	-
150	Public_NAT_175.126.208.42_Grp
151	Public_NAT_175.126.208.25_Grp
